name,device_name,block_name,data_type,function_code,address,register_count,byte_order,engineering_unit,scale,offset,min_value,max_value,description,groups,named_set,is_heartbeat,heartbeat_max_stale_sec,writable
DOUT_1,GC_SIM_001,GC700XA_1001_10,bool,3,1001,,ABCD,,1,0,,,Discrete Output 1-5,,,false,,false
DOUT_2,GC_SIM_001,GC700XA_1001_10,bool,3,1002,,ABCD,,1,0,,,Discrete Output 1-5,,,false,,false
DOUT_3,GC_SIM_001,GC700XA_1001_10,bool,3,1003,,ABCD,,1,0,,,Discrete Output 1-5,,,false,,false
DOUT_4,GC_SIM_001,GC700XA_1001_10,bool,3,1004,,ABCD,,1,0,,,Discrete Output 1-5,,,false,,false
DOUT_5,GC_SIM_001,GC700XA_1001_10,bool,3,1005,,ABCD,,1,0,,,Discrete Output 1-5,,,false,,false
DIN_1,GC_SIM_001,GC700XA_1001_10,bool,3,1006,,ABCD,,1,0,,,Discrete Input 1-5,,,false,,false
DIN_2,GC_SIM_001,GC700XA_1001_10,bool,3,1007,,ABCD,,1,0,,,Discrete Input 1-5,,,false,,false
DIN_3,GC_SIM_001,GC700XA_1001_10,bool,3,1008,,ABCD,,1,0,,,Discrete Input 1-5,,,false,,false
DIN_4,GC_SIM_001,GC700XA_1001_10,bool,3,1009,,ABCD,,1,0,,,Discrete Input 1-5,,,false,,false
DIN_5,GC_SIM_001,GC700XA_1001_10,bool,3,1010,,ABCD,,1,0,,,Discrete Input 1-5,,,false,,false
SIS_COMPONENT_CODES_1,GC_SIM_001,GC700XA_3001_32,uint16,3,3001,,ABCD,,1,0,,,Last Analysis Component Codes,,,false,,false
SIS_COMPONENT_CODES_2,GC_SIM_001,GC700XA_3001_32,uint16,3,3002,,ABCD,,1,0,,,Last Analysis Component Codes,,,false,,false
SIS_COMPONENT_CODES_3,GC_SIM_001,GC700XA_3001_32,uint16,3,3003,,ABCD,,1,0,,,Last Analysis Component Codes,,,false,,false
SIS_COMPONENT_CODES_4,GC_SIM_001,GC700XA_3001_32,uint16,3,3004,,ABCD,,1,0,,,Last Analysis Component Codes,,,false,,false
SIS_COMPONENT_CODES_5,GC_SIM_001,GC700XA_3001_32,uint16,3,3005,,ABCD,,1,0,,,Last Analysis Component Codes,,,false,,false
SIS_COMPONENT_CODES_6,GC_SIM_001,GC700XA_3001_32,uint16,3,3006,,ABCD,,1,0,,,Last Analysis Component Codes,,,false,,false
SIS_COMPONENT_CODES_7,GC_SIM_001,GC700XA_3001_32,uint16,3,3007,,ABCD,,1,0,,,Last Analysis Component Codes,,,false,,false
SIS_COMPONENT_CODES_8,GC_SIM_001,GC700XA_3001_32,uint16,3,3008,,ABCD,,1,0,,,Last Analysis Component Codes,,,false,,false
SIS_COMPONENT_CODES_9,GC_SIM_001,GC700XA_3001_32,uint16,3,3009,,ABCD,,1,0,,,Last Analysis Component Codes,,,false,,false
SIS_COMPONENT_CODES_10,GC_SIM_001,GC700XA_3001_32,uint16,3,3010,,ABCD,,1,0,,,Last Analysis Component Codes,,,false,,false
SIS_COMPONENT_CODES_11,GC_SIM_001,GC700XA_3001_32,uint16,3,3011,,ABCD,,1,0,,,Last Analysis Component Codes,,,false,,false
SIS_COMPONENT_CODES_12,GC_SIM_001,GC700XA_3001_32,uint16,3,3012,,ABCD,,1,0,,,Last Analysis Component Codes,,,false,,false
SIS_COMPONENT_CODES_13,GC_SIM_001,GC700XA_3001_32,uint16,3,3013,,ABCD,,1,0,,,Last Analysis Component Codes,,,false,,false
SIS_COMPONENT_CODES_14,GC_SIM_001,GC700XA_3001_32,uint16,3,3014,,ABCD,,1,0,,,Last Analysis Component Codes,,,false,,false
SIS_COMPONENT_CODES_15,GC_SIM_001,GC700XA_3001_32,uint16,3,3015,,ABCD,,1,0,,,Last Analysis Component Codes,,,false,,false
SIS_COMPONENT_CODES_16,GC_SIM_001,GC700XA_3001_32,uint16,3,3016,,ABCD,,1,0,,,Last Analysis Component Codes,,,false,,false
SIS_COMPONENT_CODES_1_2,GC_SIM_001,GC700XA_3001_32,uint16,3,3017,,ABCD,,1,0,,,Last Analysis Component Codes,,,false,,false
SIS_COMPONENT_CODES_2_2,GC_SIM_001,GC700XA_3001_32,uint16,3,3018,,ABCD,,1,0,,,Last Analysis Component Codes,,,false,,false
SIS_COMPONENT_CODES_3_2,GC_SIM_001,GC700XA_3001_32,uint16,3,3019,,ABCD,,1,0,,,Last Analysis Component Codes,,,false,,false
SIS_COMPONENT_CODES_4_2,GC_SIM_001,GC700XA_3001_32,uint16,3,3020,,ABCD,,1,0,,,Last Analysis Component Codes,,,false,,false
SIS_COMPONENT_CODES_5_2,GC_SIM_001,GC700XA_3001_32,uint16,3,3021,,ABCD,,1,0,,,Last Analysis Component Codes,,,false,,false
SIS_COMPONENT_CODES_6_2,GC_SIM_001,GC700XA_3001_32,uint16,3,3022,,ABCD,,1,0,,,Last Analysis Component Codes,,,false,,false
SIS_COMPONENT_CODES_7_2,GC_SIM_001,GC700XA_3001_32,uint16,3,3023,,ABCD,,1,0,,,Last Analysis Component Codes,,,false,,false
SIS_COMPONENT_CODES_8_2,GC_SIM_001,GC700XA_3001_32,uint16,3,3024,,ABCD,,1,0,,,Last Analysis Component Codes,,,false,,false
SIS_COMPONENT_CODES_9_2,GC_SIM_001,GC700XA_3001_32,uint16,3,3025,,ABCD,,1,0,,,Last Analysis Component Codes,,,false,,false
SIS_COMPONENT_CODES_10_2,GC_SIM_001,GC700XA_3001_32,uint16,3,3026,,ABCD,,1,0,,,Last Analysis Component Codes,,,false,,false
SIS_COMPONENT_CODES_11_2,GC_SIM_001,GC700XA_3001_32,uint16,3,3027,,ABCD,,1,0,,,Last Analysis Component Codes,,,false,,false
SIS_COMPONENT_CODES_12_2,GC_SIM_001,GC700XA_3001_32,uint16,3,3028,,ABCD,,1,0,,,Last Analysis Component Codes,,,false,,false
SIS_COMPONENT_CODES_13_2,GC_SIM_001,GC700XA_3001_32,uint16,3,3029,,ABCD,,1,0,,,Last Analysis Component Codes,,,false,,false
SIS_COMPONENT_CODES_14_2,GC_SIM_001,GC700XA_3001_32,uint16,3,3030,,ABCD,,1,0,,,Last Analysis Component Codes,,,false,,false
SIS_COMPONENT_CODES_15_2,GC_SIM_001,GC700XA_3001_32,uint16,3,3031,,ABCD,,1,0,,,Last Analysis Component Codes,,,false,,false
SIS_COMPONENT_CODES_16_2,GC_SIM_001,GC700XA_3001_32,uint16,3,3032,,ABCD,,1,0,,,Last Analysis Component Codes,,,false,,false
RUN_T,GC_SIM_001,GC700XA_3033_32,uint16,3,3033,,ABCD,s,1,0,,,Run Time(1/30th Sec),,,false,,false
STREAM_NO,GC_SIM_001,GC700XA_3033_32,uint16,3,3034,,ABCD,,1,0,,,Last Analy_Stream Number,,,false,,false
CDT_STREAM_MASK,GC_SIM_001,GC700XA_3033_32,uint16,3,3035,,ABCD,,1,0,,,Last Analy_CDT Stream Mask,,,false,,false
CUR_MONTH,GC_SIM_001,GC700XA_3033_32,uint16,3,3036,,ABCD,,1,0,,,Current Month,,,false,,true
CUR_DAY,GC_SIM_001,GC700XA_3033_32,uint16,3,3037,,ABCD,,1,0,,,Current Day,,,false,,true
CUR_YEAR_YY,GC_SIM_001,GC700XA_3033_32,uint16,3,3038,,ABCD,,1,0,,,Current Year,,,false,,true
CUR_HOUR,GC_SIM_001,GC700XA_3033_32,uint16,3,3039,,ABCD,,1,0,,,Current Hour,,,false,,true
CUR_MINUTE,GC_SIM_001,GC700XA_3033_32,uint16,3,3040,,ABCD,,1,0,,,Current Minute,,,false,,true
START_TIME_MM,GC_SIM_001,GC700XA_3033_32,uint16,3,3041,,ABCD,,1,0,,,Last Analy_Start Time,,,false,,false
START_TIME_DD,GC_SIM_001,GC700XA_3033_32,uint16,3,3042,,ABCD,,1,0,,,Last Analy_Start Time,,,false,,false
START_TIME_YY,GC_SIM_001,GC700XA_3033_32,uint16,3,3043,,ABCD,,1,0,,,Last Analy_Start Time,,,false,,false
START_TIME_hh,GC_SIM_001,GC700XA_3033_32,uint16,3,3044,,ABCD,,1,0,,,Last Analy_Start Time,,,false,,false
START_TIME_mm,GC_SIM_001,GC700XA_3033_32,uint16,3,3045,,ABCD,,1,0,,,Last Analy_Start Time,,,false,,false
SYS_ALARM_BITMAP_3046,GC_SIM_001,GC700XA_3033_32,uint16,3,3046,,ABCD,,1,0,,,"0:Unused, 1:Unused, 2:System Alarm_Alarm On - Last Analysis_Analog Input 1 Low Signal, 3:System Alarm_Alarm On - Last Analysis_Analog Input 1 High Signal, 4:System Alarm_Alarm On - Last Analysis_Analo",,,false,,false
SYS_ALARM_BITMAP_3047,GC_SIM_001,GC700XA_3033_32,uint16,3,3047,,ABCD,,1,0,,,"0:System Alarm_Alarm On - Current Analysis_Power Failure, 1:Calibration Failed, 2:Preamp Failure, 3:Unused, 4:Unused, 5:Unused, 6:Unused, 7:Unused, 8:Unused, 9:Unused, 10:Unused, 11:Unused, 12:Unused,",,,false,,false
LIMIT_ALARMS_1,GC_SIM_001,GC700XA_3033_32,uint16,3,3048,,ABCD,,1,0,,,Limit Alarms,,,false,,false
LIMIT_ALARMS_2,GC_SIM_001,GC700XA_3033_32,uint16,3,3049,,ABCD,,1,0,,,Limit Alarms,,,false,,false
LIMIT_ALARMS_3,GC_SIM_001,GC700XA_3033_32,uint16,3,3050,,ABCD,,1,0,,,Limit Alarms,,,false,,false
LIMIT_ALARMS_4,GC_SIM_001,GC700XA_3033_32,uint16,3,3051,,ABCD,,1,0,,,Limit Alarms,,,false,,false
LIMIT_ALARMS_5,GC_SIM_001,GC700XA_3033_32,uint16,3,3052,,ABCD,,1,0,,,Limit Alarms,,,false,,false
LIMIT_ALARMS_6,GC_SIM_001,GC700XA_3033_32,uint16,3,3053,,ABCD,,1,0,,,Limit Alarms,,,false,,false
LIMIT_ALARMS_7,GC_SIM_001,GC700XA_3033_32,uint16,3,3054,,ABCD,,1,0,,,Limit Alarms,,,false,,false
LIMIT_ALARMS_8,GC_SIM_001,GC700XA_3033_32,uint16,3,3055,,ABCD,,1,0,,,Limit Alarms,,,false,,false
LIMIT_ALARMS_9,GC_SIM_001,GC700XA_3033_32,uint16,3,3056,,ABCD,,1,0,,,Limit Alarms,,,false,,false
LIMIT_ALARMS_10,GC_SIM_001,GC700XA_3033_32,uint16,3,3057,,ABCD,,1,0,,,Limit Alarms,,,false,,false
NDF,GC_SIM_001,GC700XA_3033_32,uint16,3,3058,,ABCD,,1,0,,,New Data Flag,,,false,,true
ANAL_CAL_FLAG,GC_SIM_001,GC700XA_3033_32,uint16,3,3059,,ABCD,,1,0,,,Analy/Calib Flag,,,false,,false
DAILY_AVG_UPDATED,GC_SIM_001,GC700XA_3033_32,uint16,3,3060,,ABCD,,1,0,,,Daily Avg Updated,,,false,,true
LAST_STREAM,GC_SIM_001,GC700XA_3033_32,uint16,3,3061,,ABCD,,1,0,,,Last Stream,,,false,,false
STREAM_NEW_DATA,GC_SIM_001,GC700XA_3033_32,uint16,3,3062,,ABCD,,1,0,,,2 - Stream 2_New Data Available,,,false,,true
STREAM_NEW_DATA_2,GC_SIM_001,GC700XA_3033_32,uint16,3,3063,,ABCD,,1,0,,,3 - Stream 3_New Data Available,,,false,,true
STREAM_NEW_DATA_3,GC_SIM_001,GC700XA_3033_32,uint16,3,3064,,ABCD,,1,0,,,4 - Stream 4_New Data Available,,,false,,true
STREAM_NEW_DATA_4,GC_SIM_001,GC700XA_3065_32,uint16,3,3065,,ABCD,,1,0,,,5 - Stream 5_New Data Available,,,false,,true
CDT1_REF_CCODE_1,GC_SIM_001,GC700XA_3065_32,uint16,3,3066,,ABCD,,1,0,,,CDT1-Reference Component Code,,,false,,false
CDT1_REF_CCODE_2,GC_SIM_001,GC700XA_3065_32,uint16,3,3067,,ABCD,,1,0,,,CDT1-Reference Component Code,,,false,,false
